"Paratransit, Inc.",ITP_ID,NTD ID,Legacy NTD ID,Kate Review,review comments,PTO trips data inclusion,PTO trips data text info,annual ridership,Only aggregate data,Commuter Bus,Demand Response,Demand response- taxi,Bus,Rail,Other,Source,Year,Link,revenue link (if different source than data source),2017 fare revenue total----,Commuter Bus fare revenue,Demand Response fare revenue,Demand response- taxi fare revenue,Bus Rapid Transit Fare revenue,Bus fare revenue,Commuter rail fare revenue,Heavy rail fare revenue,Light Rail fare revenue,Other modes fare revenue,Other Description,STA1,STA2,Contacted,Trillium client,Agency Acronym,Administering entity,Admin Acronym,Reporter Status,Reporter Type,TypeCode,Reporting Module,Organization Type,Reported By NTD ID,Reported by Name,Subrecipient Type,FY End Date,Original Due Date,Address Line 1,Address Line 2,P.O. Box,Associated Transit Organizations,Agency Notes,Service area density,City,State,Zip Code,Zip Code Ext,Region,URL,FTA Recipient ID,Duns Number,Service Area Sq Miles,Service Area Pop,Primary UZA,UZA Name,Tribal Area Name,Population,Density,Sq Miles,VOMS DO,VOMS PT,Total VOMS,Volunteer Drivers,Personal Vehicles,Operates Transit (Y/N),Potential for GTFS static (Y/N),Transit type,Free fare on fixed-route (Y/N),Fares based on route (Y/N),Fares based on zone (Y/N),Flat fares (Y/N),Reduced fare,Reduced fare categories,Category notes,Transfers Allowed (Y/N),Transfer Time,Transfer Fee (Y/N),Transfers notes,Interagency Transfers (Y/N/?),Interagency transfer notes,Pass times/trips,Pass notes,Reservations (Y/N),Group/school trip Discount (Y/N),Ticket/Pass Sales Methods,Payment Accepted,Ticket Media,Electronic fare program,Ticket validation,Bike fee,Cheaper base fare w/ smartcard (Y/N),Reg/Adult Ticket Price Min,Reg/Adult Ticket Price Max,Pass Price Min,Pass Price Max,Fare capping,GTFS,Real-time status,GTFS Service Alerts,# of fixed routes,GTFS fares (Y/N),GTFS+ Fares (Y/N),Operates Paratransit,Paratransit fare URL,Operates Demand Response,Demand Response fare URL,T_Company,T_Background,T_Tags,T_Phone,T_Email,T_URL,T_URL_Other,T_Created,T_Last_Updated,T_Added by,T_Live in Google Maps,T_NTD ID,T_Number of Routes,T_Trillium client,T-Farebox Ratio % - Year,T_OPEX,Source,County,OPM_ID (DRMT),Local Commission,Metropolitan Planning Organization,Regional Transportation Planning Authority,Caltrans District (int),Caltrans District (string),Combined Address,Street Address,City,Zip,Lat,Long
Riverside County Transportation Commission,267,90218,9218,x,,2,,,,,,,,,,,,,,,,,,,,,,,,,Riverside County Transportation Commission,Southern California Regional Rail Authority,,,RCTC,"Riverside, County of",,Active,Building Reporter,2,Urban,"MPO, COG or Other Planning Agency",,,,6/30/2017,10/31/2017,4080 Lemon Street,3rd Floor,12008,Caltrans,,Urban,Riverside,CA,92502,2208,9,http://www.rctc.org/,5807,364457663,,,22,"Riverside-San Bernardino, CA",,"1,932,666","3,546",545,,,,,,N,N,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NTD,Riverside,833001,Riverside County Transportation Commission,Southern California Association of Governments,Southern California Association of Governments,8,08 - San Bernardino,"4080 Lemon Street, Riverside, CA, 92501",4080 Lemon Street,Riverside,92501,33.977823,-117.373422
Chemehuevi Indian Tribe,64,99316,9T27,x,,6,Ferryboat ,"459,434",,0,,,0,0,"459,434",NTD,2017,,,"$244,293",,,,,,,,,"$244,293",ferryboat,,,,,CTA,Chemehuevi Indian Tribe,CIT,Active,Reduced Reporter,1,Tribe,Tribe,,,,12/31/2017,4/30/2018,,,1976,,,Rural,Havasu Lake ,CA,92363,,9,www.chemehuevi.net,,28735165,,,0,California Non-UZA,"Chemehuevi Reservation, CA",0,0,0,2,,2,,,Y,N,ferry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NTD,San Bernardino,,San Bernardino County Transportation Authority,Southern California Association of Governments,Southern California Association of Governments,8,08 - San Bernardino,,,,,,
Morongo Band of Mission Indians,211,99358,9T20,x,,6,,"4,425",,,"4,425",,,,,NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/99358.pdf,,"$3,671",,"$3,671",,,,,,,,,,,,,,Morongo Band of Mission Indians,,Active,Reduced Reporter,1,Tribe,Tribe,,,,12/31/2017,4/30/2018,12700 Pumarra Road,,,,,Rural,Banning,CA,92220,,9,http://morongonation.org/content/transportation-department,7204,91926220,,,0,California Non-UZA,"Morongo Reservation and Off-Reservation Trust Land, CA",0,0,0,2,,2,,,Y,N,demandresponse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NTD,Riverside,,Riverside County Transportation Commission,Southern California Association of Governments,Southern California Association of Governments,8,08 - San Bernardino,,,,,,
Mountain Transit,214,9R02-91012,9R02-050,x,,1,,"158,366",,"20,727","17,679",,"119,960",,,NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/9R02-91012.pdf,,"$357,410","$112,399","$58,679",,,"$186,332",,,,,,San Bernardino County Transportation Authority,,Y,Y,MARTA,Mountain Area Regional Transit Authority,MARTA,Active,Rural Reporter,,Rural,Independent Public Agency or Authority of Transit Service,9R02,California Department of Transportation,Rural General Public Transit,6/30/2017,10/31/2017,,,1501,,,Rural,Big Bear Lake,CA,92315,1501,9,http://mountaintransit.org/,,968613398,,,,,,,,,11,,11,,,Y,Y,"busfixedroute, demandresponse",,Y,Y,N,Y,"age60over, medicare, disabled, ADAcard, veteran",,N,,,,Y,Omnitrans passes and Metrolink tickets,"1day, 10zone, 10ride, 30ride, 24ride",Some passes are route specific,,,"onboardbus, toffice","cash, check, card",customcard,,,,,1.00,10,5,54,,,2,,,Y,N,,,Y,https://mountaintransit.org/fares-and-tickets/,,,,,,,,,,,,,,,,,Trillium contact,San Bernardino,836003,San Bernardino County Transportation Authority,Southern California Association of Governments,Southern California Association of Governments,8,08 - San Bernardino,"41939 Fox Farm Road, Big Bear Lake, CA, 92315",41939 Fox Farm Road,Big Bear Lake,92315,34.247622,-116.886897
Needles Area Transit,220,9R02-91020,9R02-063,x,,1,,"27,599",,,,,"27,599",,,NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/9R02-91020.pdf,,"$34,015",,,,,"$34,015",,,,,,San Bernardino County Transportation Authority,,Y,YY,NAT,"Needles, City of",,Active,Rural Reporter,,Rural,"City, County or Local Government Unit or Department of Transportation",9R02,California Department of Transportation,Rural General Public Transit,6/30/2017,10/31/2017,817 Third Street,,,,,Rural,Needles,CA,92363,,9,http://www.cityofneedles.com/transit/,,30582910,,,,,,,,,,1,1,,,Y,Y,"busfixedroute, demandresponse, paratransit",,N,N,Y,Y,"age60over, age0-5",age0-5 free,,,,,?,,,,,,onboardbus,cash,,,,,,1.35,1.35,,,,http://data.trilliumtransit.com/gtfs/needles-ca-us/needles-ca-us.zip,4,,,Y,N,Y,http://www.cityofneedles.com/transit/#services,Y,http://www.cityofneedles.com/transit/#services,,,,,,,,,,,,,,,,,Trillium contact,San Bernardino,836006,San Bernardino County Transportation Authority,Southern California Association of Governments,Southern California Association of Governments,8,08 - San Bernardino,"817 Third Street, Needles, CA, 92363",817 Third Street,Needles,92363,34.837903,-114.605334
Morongo Basin Transit Authority,212,9R02-91090,9R02-049,x,,1,,"280,163",,"7,032","84,902",,"484,365",,,NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/9R02-91090.pdf,,"$405,199","$54,196","$40,482",,,"$310,521",,,,,,San Bernardino County Transportation Authority,,Y,Y,MBTA,Morongo Basin Transit Authority,MBTA,Active,Rural Reporter,,Rural,Independent Public Agency or Authority of Transit Service,9R02,California Department of Transportation,Rural General Public Transit,6/30/2017,10/31/2017,62405 Verbena Road,,,,,Rural,Joshua Tree,CA,92252,,9,http://www.mbtabus.com,,781852470,,,,,,,,,31,,31,,,Y,Y,"busfixedroute, demandresponse",,Y,Y,N,Y,"age60over, age0-5, disabled, ADAcard",,N,,,,?,,"1day, 31day, 10ride, roundtrip",10ride for route 12 only,,,onboardbus,,customcard,,,,,1.25,20,3.75,42,,http://data.trilliumtransit.com/gtfs/morongobasin-ca-us/morongobasin-ca-us.zip,4,,,Y,Y,,,Y,https://mbtabus.com/ready-ride/,,,,,,,,,,,,,,,,,Trillium contact,San Bernardino,836002,San Bernardino County Transportation Authority,Southern California Association of Governments,Southern California Association of Governments,8,08 - San Bernardino,"62405 Verbena Road, Joshua Tree, CA, 92252",62405 Verbena Road,Joshua Tree,92252,34.137817,-116.302788
Banning Pass Transit,30,,,x,,1,,"133,193",,,"10,928",,"122,265",,,State Controller,2017,https://bythenumbers.sco.ca.gov/Raw-Data/Transit-Operators-Raw-Data-for-Fiscal-Years-2003-2/ez7u-5dub,State controller data,"$130,111",,"$23,504",,,"$106,607",,,,,,Riverside County Transportation Commission,,Y,Y,BPT,"Banning, City of",,,,,,,,,,,,,,,Beaumont Pass Transit,https://passtransit.com,Rural,Banning,CA,,,,http://banning.ca.us/351/Bus-Schedules,,,,,,,,,,,,,,,,Y,Y,"busfixedroute, paratransit",,N,Y,Y,Y,"age60over, disabled, age0-17, childunder46in",childunder46in free,N,,,additional $.25 zone fare to Cabazon's South side,Y,http://banning.ca.us/351/Bus-Schedules,"1day, monthly, 10ride",always an additional $.25 zone fare to Cabazon's South side,,,"onboardbus, vendor",,,,,,,1.15,1.35,3,36,,http://data.trilliumtransit.com/gtfs/banning-ca-us/banning-ca-us.zip,4,,,Y,N,Y,http://banning.ca.us/356/Dial-A-Ride,,,Banning Pass Transit,,"client-gtfs, suspect-gtfs2html, suspect-imap, suspect-servalert, suspect-swiftly, RCTC, RFP-WATCH",,,,,2010-01-22 00:54:11,2019-01-03 17:16:57,Aaron Antrim,Y,,4,Y,,,Trillium contact,Riverside,833002,Riverside County Transportation Commission,Southern California Association of Governments,Southern California Association of Governments,8,08 - San Bernardino,"99 East Ramsey Street, Banning, CA, 92220",99 East Ramsey Street,Banning,92220,33.925837,-116.875829
Beaumont Pass Transit,34,,,x,link doesnt work https://beaumontca.gov/index.aspx?NID=160,1,,"196,362",,,,"10,869","185,493",,,State Controller,2017,https://bythenumbers.sco.ca.gov/Raw-Data/Transit-Operators-Raw-Data-for-Fiscal-Years-2003-2/ez7u-5dub,State controller data,"$219,522",,,,,"$219,522",,,,,,Riverside County Transportation Commission,,Y,Y,BPT,"Beaumont, City of",,,,,,,,,,,,,,,Banning Pass Transit,https://passtransit.com,Rural,Beaumont,CA,,,,https://beaumontca.gov/index.aspx?NID=160,,,,,,,,,,,,,,,,Y,Y,"busfixedroute, commuterbus, paratransit",,Y,N,N,Y,"age60over, disabled, veteran, childunder46in, juryduty, student, activemilitary",Juryduty and activemilitary are free. Juryduty on route 2 only. Student free with MSJC GoPass only.,N,,,,?,,"1day, monthly, 10ride",,,,"onboardbus, vendor",,customcard,,,,,1.15,3,3,75,,http://data.trilliumtransit.com/gtfs/beaumont-ca-us/beaumont-ca-us.zip,2,,,Y,N,Y,http://beaumontca.gov/index.aspx?NID=161,,,Beaumont Pass Transit,,"client-gtfs, DoubleMap, socal, suspect-tripplan, suspect-servalert, suspect-swiftly, RCTC, Los Angeles",,,,,2010-01-22 00:54:11,2017-07-13 17:01:26,Aaron Antrim,Y,,,Y,,,Trillium contact,Riverside,833003,Riverside County Transportation Commission,Southern California Association of Governments,Southern California Association of Governments,8,08 - San Bernardino,"550 East 6th Street, Beaumont, CA, 92223",550 East 6th Street,Beaumont,92223,33.930035,-116.974778
Desert Roadrunner,238,,,x,,1,Other unknown,"45,832",,,,,"45,807",,25,State Controller,2017,https://bythenumbers.sco.ca.gov/Raw-Data/Transit-Operators-Raw-Data-for-Fiscal-Years-2003-2/ez7u-5dub,State controller data,118732,,"$48,239",,,"$70,493",,,,,,Riverside County Transportation Commission,,Y,Y,,Palo Verde Valley Transit Agency,PVVTA,,,,,,,,,,,,,,,,Rural,Blythe,CA,,,,https://pvvta.com/,,,,,,,,,,,,,,,,Y,Y,busfixedroute,,Y,Y,N,Y,"age60over, age0-4, disabled",age0-4 free,N,,,,?,,"10ride, 31day, 20ride, summeryouth",,,,"onboardbus, toffice",,"punchcard, customcard",,,,,1.65,10,33,120,,http://data.trilliumtransit.com/gtfs/paloverde_valley-ca-us/paloverde_valley-ca-us.zip,4,,,,,Y,https://pvvta.com/how-to-ride/trip-program/,,,Palo Verde Valley Transit Agency (PVVTA),,"client-gtfs, RCTC, Transportation Concepts",,,,,2010-01-22 00:54:11,2017-10-16 16:26:35,Aaron Antrim,Y,,5 deviated fixed,Y,,,Trillium contact,Riverside,833005,Riverside County Transportation Commission,Southern California Association of Governments,Southern California Association of Governments,8,08 - San Bernardino,"415 North Main Street, Blythe, CA, 92225",415 North Main Street,Blythe,92225,33.616747,-114.600038
Palm Springs Buzz,237,,,x,,4,Operated by Sunline. Data is reported elsewhere,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,BUZZ,SunLine,,,,,,,,,,,,,,,,,Rural,Palm Springs,CA,,,,https://www.sunline.org/buzzisback,,,,,,,,,,,,,,,,Y,Y,busfixedroute,,N,Y,Y,Y,"age5-17, age60over, disabled, medicare, age0-4",age0-4 free,Y,2hr,Y,Must have pass or paid fare to use the Commuter Link 220,Y,https://www.sunline.org/riding-sunline/pricing,"10ride, 31day, 1day, 30day",,,,"onboardbus, vendor, online",,customcard,,,,,1.00,6,3,34,,Not in Google,6,,1,,,Y,https://www.sunline.org/seniors-persons-with-disabilities,,,Palm Springs Buzz,began December 2014 as pilot project.. approved through 2016 by city council.,"socal, suspect-gtfs",,psbuzz@palmsprings-ca.gov,,,2016-03-18 22:46:48,2017-06-26 19:08:22,Seth Churnside,N,,1 - trolley,N,,,Trillium contact,Riverside,,Riverside County Transportation Commission,Southern California Association of Governments,Southern California Association of Governments,8,08 - San Bernardino,,,,,,
Barstow Area Transit,31,,,x,Data unavailable. Under Victor Valley Transit Authority,4,Included in Victor Valley Transit Authority,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAT,Victor Valley Transit Authority,VVTA,,,,,,,,,,,,,,,merged into VVTA in 2015,Rural,Barstow,CA,,,,http://www.barstowca.org/city-hall/city-departments/transportation/fares,,,,,,,,,,,,,,,,N,N,None,,Y,N,N,Y,"senior, disabled, age0-5, age6-17, student","age0-5 is free, student is BCC student",Y,,N,,?,,"1day, monthly, 10ride",,,,onboardbus,,,,,,,1.25,2.75,4,78,,,,,,,,Y,http://banning.ca.us/356/Dial-A-Ride,,,City of Barstow (Barstow Area Transit),"GTFS is under its own feed but the service and schedules are on VVTA's website. 

In 2015, Barstow Area Transit merged with VVTA.","client-gtfs, RCTC",,,,,2010-01-22 00:54:10,2017-10-16 15:47:35,Aaron Antrim,Y,,,Y,,,Trillium contact,San Bernardino,836016,San Bernardino County Transportation Authority,Southern California Association of Governments,Southern California Association of Governments,8,08 - San Bernardino,"220 East Mountain View Street, Barstow, CA, 92311",220 East Mountain View Street,Barstow,92311,34.892634,-117.025238
Inland Regional Center,140,,,,,8,No Data ,,,,,,,,,,,,,,,,,,,,,,,,,,,,IRC,Inland Regional Center,IRC,,,,,,,,,,,,,,,"Serves more than 31,000 individuals with developmental disabilities in San Bernardino and Riverside counties. ",Mix,San Bernardino,CA,,,,http://www.inlandrc.org,,,,,,,,,,,,,,,,Y,N,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inland Regional Center,"Serves more than 31,000 individuals with developmental disabilities in San Bernardino and Riverside counties. ",,909.890.3001,,,,2016-09-11 16:58:37,2017-06-26 19:08:32,Seth Churnside,Maybe,,,N,,,Trillium contact,San Bernardino,,San Bernardino County Transportation Authority,Southern California Association of Governments,Southern California Association of Governments,8,08 - San Bernardino,,,,,,
Ontario International Airport,233,,,x,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OIA,,,,,,,,,,,,,,,,,Needs more info,Urban,Ontario,CA,,,,https://www.flyontario.com/,,,,,,,,,,,,,,,,,N,airportshuttle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.apta.com/resources/links/unitedstates/Pages/CaliforniaTransitLinks.aspx,San Bernardino,,San Bernardino County Transportation Authority,Southern California Association of Governments,Southern California Association of Governments,8,08 - San Bernardino,,,,,,
San Bernardino County Transportation Authority,385,,,x,,2,,,,,,,,,,,,,,,,,,,,,,,,,Southern California Regional Rail Authority,,,,SBCTA,San Bernardino Council of Governments ,SBCOG,,,,,,,,,,,,,,,SBCTA and SBCOG are the same entity,Urban,San Bernardino,,,,,http://gosbcta.com/,,,,,,,,,,,,,,,,N,N,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,San Bernardino,836001,San Bernardino County Transportation Authority,Southern California Association of Governments,Southern California Association of Governments,8,08 - San Bernardino,"1170 W 3rd Street, San Bernardino, CA, 92410",1170 W 3rd Street,San Bernardino,92410,34.10421,-117.309814
Greyhound,12,,,x,,3,"private company, no readily available data",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Americanos USA,,,,,,,,,,,,,,,,,Mix,Intercity,CA,,,,http://www.autobusesamericanos.us/,,,,,,,,,,,,,,,,Y,Y,busfixedroute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not in Google,6,,,,,,,,,,,,,,,,,,,,,,,,,https://www.apta.com/resources/links/unitedstates/Pages/CaliforniaTransitLinks.aspx,San Bernardino,,San Bernardino County Transportation Authority,Southern California Association of Governments,Southern California Association of Governments,8,08 - San Bernardino,,,,,,
Bishop Paiute Tribe,40,99268,9T01,x,,6,no ridership reported on NTD report- page 673 of agency profile compilation,,,,,,,,,NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/docs/ntd/transit-agency-profiles/130046/2017-transit-profiles-report-year-summary-part-3.pdf,,$0,,,,,,,,,,,,,,,,Bishop Paiute Tribe,,Active,Reduced Reporter,1,Tribe,Tribe,,,,12/31/2017,4/30/2018,50 Tu Su Lane,,,,No info,Rural,Bishop,CA,93514,,9,http://www.bishoppaiutetribe.com/,6827,37718785,,,,,"Bishop Reservation, CA",,,,,,,,,N,N,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NTD,Inyo,,Inyo County Local Transportation Commission,Non-MPO Rural RTPA,Inyo County Local Transportation Commission,9,09 - Bishop,,,,,,
Ridgecrest Transit,263,9R02-91006,9R02-051,x,"NTD did not report demand response, but the State Controller did for this agency",1,Numbers in NTD report do not include Demand Response that State Controller data did include,"15,957",,,"2,709",,"13,248",,,State Controller,2017,https://bythenumbers.sco.ca.gov/Raw-Data/Transit-Operators-Raw-Data-for-Fiscal-Years-2003-2/ez7u-5dub,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/9R02-91006.pdf,"$37,030",,,,,"$37,030",,,,,,Kern Council of Governments,,Y,,RTS,"Ridgecrest, City of",,Active,Rural Reporter,,Rural,"City, County or Local Government Unit or Department of Transportation",9R02,California Department of Transportation,Rural General Public Transit,6/30/2017,10/31/2017,100 West California Ave.,,,,"""Our system combines the benefits of traditional fixed route service and demand response service for Transit Functional Needs qualified passengers. The bus follows a defined route, picking up and dropping off passengers at designated stops. The bus will also “deviate” off of its route within a three-quarter (3/4) of a mile radius when a Transit Functional Needs passenger has been identified and an advance reservation has been made.""",Rural,Ridgecrest,CA,93555,,9,https://www.ridgecrest-ca.gov/384/Ridgecrest-Transit-Bus-Schedule,,170614663,,,,,,,,,5,,5,,,Y,Y,"busfixedroute, demandresponse",,N,N,Y,Y,"age60over, disabled, age4-17, age0-3",age3under free,,,,,,,"monthly, punchpass",,,,onboardbus,cash,"customcard, punchcard",,,,,2.00,2.50,10,45,,https://data.trilliumtransit.com/gtfs/cityofridgecrest-ca-us/cityofridgecrest-ca-us.zip,4,,5,,,N,,N,,,,,,,,,,,,,,,,,,Trillium contact,Kern,615007,Kern Council of Governments,Kern Council of Governments,Kern Council of Governments,9,09 - Bishop,"100 West California Avenue, Ridgecrest, CA, 93555",100 West California Avenue,Ridgecrest,93555,35.621067,-117.672664
Eastern Sierra Transit Authority,99,9R02-91062,9R02-098,x,,1,,"1,203,867",,"12,864","57,134",,"113,869",,,NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/9R02-91062.pdf,,"$944,040","$57,119","$133,512",,,"$753,409",,,,,,Mono County Local Transportation Commission,,Y,Y,ESTA,Eastern Sierra Transit Authority,ESTA,Active,Rural Reporter,,Rural,Independent Public Agency or Authority of Transit Service,9R02,California Department of Transportation,Rural General Public Transit,6/30/2017,10/31/2017,,703B Airport Rd,1357,,Previously Inyo Mono Transit,Mix,Bishop,CA,93515,1357,9,http://www.estransit.com,,830528210,,,,,,,,,44,,44,,,Y,Y,"busfixedroute, demandresponse",,N,Y,N,Y,"age60over, age0-4, age5-16, disabled",,N,,,,?,,10ride,,Y,,"onboardbus, online, phone, mail","cash, card",punchcard,,punchcard,,,2.00,58,9,45,,http://data.trilliumtransit.com/gtfs/easternsierra-ca-us/easternsierra-ca-us.zip,1,,,Y,N,,,,,,,,,,,,,,,,,,,,,Trillium contact,Inyo,926002,Mono County Local Transportation Commission,Non-MPO Rural RTPA,Mono County Local Transportation Commission,9,09 - Bishop,"703 Airport Rd, Bishop, CA, 93515",703 Airport Rd,Bishop,93515,37.372003,-118.367538
Tehachapi Dial-A-Ride,333,9R02-91074,9R02-014,x,,1,,"4,637",,,"4,637",,,,,NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/9R02-91074.pdf,,"$5,068",,"$5,068",,,,,,,,,Kern Council of Governments,,,,,"Tehachapi, City of",,Active,Rural Reporter,,Rural,"City, County or Local Government Unit or Department of Transportation",9R02,California Department of Transportation,Rural General Public Transit,6/30/2017,10/31/2017,115 South Robinson Street,,,,,Rural,Tehachapi,CA,93561,1722,9,http://www.liveuptehachapi.com/158/Tehachapi-Bus-Information,,600986863,,,,,,,,,,2,2,,,Y,N,demandresponse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trillium contact,Kern,615010,Kern Council of Governments,Kern Council of Governments,Kern Council of Governments,9,09 - Bishop,"115 South Robinson Street, Tehachapi, CA, 93561",115 South Robinson Street,Tehachapi,93561,35.131271,-118.446172
California City Dial-A-Ride,51,9R02-91111,9R02-097,x,,1,,"14,360",,0,"14,360",0,4,0,,NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/9R02-91111.pdf,,"$22,791",,"$22,791",,,,,,,,,Kern Council of Governments,,,,,"California City, City of",,Active,Rural Reporter,5,Rural,"City, County or Local Government Unit or Department of Transportation",9R02,California Department of Transportation,Rural General Public Transit,6/30/2017,10/31/2017,21000 Hacienda Blvd,,,,,Rural,California City,CA,93505,,9,https://www.californiacity-ca.gov/CC/index.php/transportation,,729433616,,,,,,,,,3,,3,,,Y,N,demandresponse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trillium contact,Kern,615003,Kern Council of Governments,Kern Council of Governments,Kern Council of Governments,9,09 - Bishop,"21000 Hacienda Boulevard, California City, CA, 93505",21000 Hacienda Boulevard,California City,93505,35.12649,-117.958941
Inyo County Local Transportation Commission,387,,,x,,2,,,,,,,,,,,,,,,,,,,,,,,,,Inyo County Local Transportation Commission,,,,ICLTC,Inyo County Local Transportation Commission,,,,,,,,,,,,,,,,,Rural,Independence,,,,,http://www.inyoltc.org/,,,,,,,,,,,,,,,,N,N,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inyo,914001,Inyo County Local Transportation Commission,Non-MPO Rural RTPA,Inyo County Local Transportation Commission,9,09 - Bishop,"168 North Edwards Street, Independence, CA, 93526",168 North Edwards Street,Independence,93526,36.803628,-118.199518
Modesto Area Express,203,90007,9007,x,,1,serves approximately 2800000 passengers annually http://www.modestoareaexpress.com/155/History-of-Modesto-Area-Express,"2,878,789",,,"102,716","13,151","2,762,922",,,NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/90007.pdf,,"$2,777,226",,"$294,639","$22,177",,"$2,460,410",,,,,,Stanislaus Council of Governments,,Y,,MAX,"Modesto, City of",,Active,Full Reporter,,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2017,10/31/2017,1010 Tenth Street,,642,,,Urban,Modesto,CA,95354,,9,http://www.modestoareaexpress.com/,1656,60125051,59,"253,607",105,"Modesto, CA",,"358,172","3,898",92,,63,63,,,Y,Y,"busfixedroute, demandresponse",,N,N,Y,Y,"studentk-c, age65over, disabled, medicare, age0-4",age0-4 free,N,,,,Y,https://modestoareaexpress.com/170/Cash-Fares,"31day, 1day, 7day, 50ride",,,Y,"onboardbus, toffice, cityhall, mobile",,"customcard, mobile",,,,,2.00,2,4,100,,https://www.modestoareaexpress.com/preview-gtfs.zip,1,,,Y,N,N,,Y,https://modestoareaexpress.com/191/Dial-A-Ride-Fares,,,,,,,,,,,,,,,,,NTD,Stanislaus,1050002,Stanislaus Council of Governments,Stanislaus Council of Governments,Stanislaus Council of Governments,10,10 - Stockton,"501 North Jefferson Street, Modesto, CA, 95354",501 North Jefferson Street,Modesto,95354,37.643159,-121.009627
San Joaquin Regional Transit District,284,90012,9012,x,,1,,"3,566,367",,"173,300",,"49,788","3,343,279",,,NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/90012.pdf,,"$3,687,962","$770,980",,"$185,824",,"$2,731,158",,,,,,San Joaquin Council of Governments,,Y,YY,SJRTD,San Joaquin Regional Transit District,SJRTD,Active,Full Reporter,,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2017,10/31/2017,PO Box 201010,,201010,,,Urban,Stockton,CA,95201,,9,http://www.sanjoaquinrtd.com/,1665,2250672,"1,426","735,764",102,"Stockton, CA",,"370,583","4,005",93,48,56,104,,,Y,Y,"busfixedroute, paratransit, demandresponse",,N,N,Y,Y,"disabled, veteran, medicare, senior, student, age0-4","3 senior age categories, student is age 5-18 and college, age4under are free",N,,,,?,,"1day, 31day",,,,"onboardbus, kiosk, online, vendor, mobile","cash, card","customcard, mobile",,magstrip,,,1.50,1.5,4,65,,http://sanjoaquinrtd.com/RTD-GTFS/RTD-GTFS.zip,1,,,N,N,Y,http://sanjoaquinrtd.com/rtd-mobility/,Y,http://www.sjrtd.com/rtd-mobility/,,,,,,,,,,,,,,,,,NTD,San Joaquin,1039006,San Joaquin Council of Governments,San Joaquin Council of Governments,San Joaquin Council of Governments,10,10 - Stockton,"421 East Weber Avenue, Stockton, CA, 95205",421 East Weber Avenue,Stockton,95205,37.954683,-121.285599
